"sample"	"n_loci"	"population"	"group"
"443"	"PO020515_05.1_92bp"	24653	"Pohang15"	"Korea"
"105"	"GE012315_22.1_92bp"	24664	"Geoje15"	"Korea"
"446"	"PO020515_09.1_92bp"	24669	"Pohang15"	"Korea"
"129"	"GEO020414_25_300_92bp"	24671	"Geoje14"	"Korea"
"251"	"JB021108_35_rep_92bp"	24671	"JinhaeBay08"	"Korea"
"131"	"GEO020414_26_92bp"	24673	"Geoje14"	"Korea"
"301"	"JB121807_31.1_92bp"	24691	"JinhaeBay07"	"Korea"
"676"	"YS_121316_27_92bp"	24708	"YellowSea16"	"Korea"
"651"	"YS121315_10.1_92bp"	24731	"YellowSea16"	"Korea"
"447"	"PO020515_10.1_92bp"	24734	"Pohang15"	"Korea"
